"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jonathan Taylor","IND","RB1","330.7","1,681.8","15.1","42.6","355.8","2.0","2.7","300.4"
"Derrick Henry","TEN","RB2","379.0","1,747.1","12.5","26.6","204.6","0.8","3.1","269.0"
"Austin Ekeler","LAC","RB3","223.3","998.0","9.8","75.2","656.4","5.4","2.3","251.8"
"Christian McCaffrey","CAR","RB4","236.6","1,058.1","7.5","85.9","708.8","3.7","2.1","239.2"
"Cooper Kupp","LAR","WR1","4.2","24.4","0.1","120.6","1,553.4","12.0","0.8","228.5"
"Dalvin Cook","MIN","RB5","281.8","1,278.3","9.8","48.6","363.5","1.5","2.7","226.8"
"Joe Mixon","CIN","RB6","288.1","1,194.8","9.9","44.6","306.8","2.4","2.0","220.4"
"Najee Harris","PIT","RB7","297.2","1,188.2","8.1","63.8","415.9","2.5","2.4","218.7"
"Alvin Kamara","NO","RB8","205.4","872.9","7.0","60.7","548.7","4.5","1.8","207.1"
"Nick Chubb","CLE","RB9","249.2","1,276.8","8.9","26.9","219.6","1.1","2.0","206.0"
"Justin Jefferson","MIN","WR2","3.3","16.7","0.1","100.8","1,485.7","9.0","0.8","202.6"
"Deebo Samuel","SF","WR3","59.0","344.0","4.6","71.0","1,061.8","5.5","1.6","198.5"
"Ja'Marr Chase","CIN","WR4","8.4","44.8","0.2","89.0","1,359.1","9.8","0.9","198.3"
"James Conner","ARI","RB10","228.7","930.3","10.6","42.1","331.7","2.1","2.1","198.3"
"Leonard Fournette","TB","RB11","220.6","927.4","8.9","62.0","412.1","2.1","1.9","196.6"
"Aaron Jones","GB","RB12","190.4","898.4","6.3","60.0","476.2","3.8","1.5","195.3"
"D'Andre Swift","DET","RB13","215.7","917.0","7.2","64.7","475.6","2.6","2.2","193.4"
"Javonte Williams","DEN","RB14","227.5","1,021.4","6.9","46.4","338.8","2.8","2.0","190.1"
"David Montgomery","CHI","RB15","254.3","1,021.7","7.7","44.9","336.4","1.8","1.9","188.9"
"Cam Akers","LAR","RB16","254.2","1,106.1","7.3","36.9","292.9","1.6","3.4","186.4"
"Saquon Barkley","NYG","RB17","233.7","968.4","6.1","56.1","398.2","2.4","2.0","183.6"
"Antonio Gibson","WAS","RB18","241.8","1,022.5","7.9","36.1","251.5","2.0","2.8","181.0"
"Ezekiel Elliott","DAL","RB19","227.2","961.5","8.1","40.6","264.1","2.0","1.5","180.1"
"Elijah Mitchell","SF","RB20","260.6","1,129.0","7.8","21.9","156.2","1.2","1.8","178.5"
"Davante Adams","LV","WR5","0.0","0.0","0.0","104.8","1,299.0","8.3","0.7","178.4"
"Stefon Diggs","BUF","WR6","0.3","2.5","0.0","101.3","1,246.1","9.2","0.8","178.3"
"Mike Evans","TB","WR7","0.3","1.8","0.0","82.8","1,152.1","10.7","0.7","178.2"
"Josh Jacobs","LV","RB21","242.5","1,001.6","8.8","35.5","249.8","0.6","1.9","177.9"
"CeeDee Lamb","DAL","WR8","6.7","51.8","0.1","91.8","1,226.0","7.9","0.7","174.3"
"J.K. Dobbins","BAL","RB22","193.3","969.5","8.1","32.6","237.3","1.1","1.5","173.1"
"Travis Kelce","KC","TE1","0.0","0.0","0.0","101.3","1,202.9","9.0","0.8","172.9"
"Tyreek Hill","MIA","WR9","8.4","60.1","0.4","92.1","1,143.5","7.6","0.8","166.9"
"Mark Andrews","BAL","TE2","0.0","0.0","0.0","92.2","1,142.5","8.8","0.8","165.6"
"Breece Hall","NYJ","RB23","218.5","953.7","5.9","36.8","292.4","1.5","2.0","165.1"
"Damien Harris","NE","RB24","216.4","958.6","9.8","15.0","110.9","0.3","1.9","163.4"
"Miles Sanders","PHI","RB25","205.9","1,013.5","4.9","31.6","225.9","1.3","2.0","157.2"
"Tee Higgins","CIN","WR10","0.3","1.0","0.0","83.1","1,134.2","7.4","0.8","156.6"
"Travis Etienne Jr.","JAC","RB26","175.5","761.5","5.0","49.7","398.8","2.0","1.9","154.5"
"A.J. Brown","PHI","WR11","0.5","5.5","0.0","77.7","1,102.7","7.5","0.7","154.4"
"DJ Moore","CAR","WR12","4.6","29.6","0.1","87.4","1,180.2","5.6","0.8","153.4"
"Mike Williams","LAC","WR13","0.0","0.3","0.0","70.8","1,056.3","7.8","0.6","151.4"
"Michael Pittman Jr.","IND","WR14","3.7","28.4","0.0","88.7","1,100.8","6.4","0.8","150.0"
"Keenan Allen","LAC","WR15","0.3","0.5","0.0","102.2","1,101.9","6.8","0.8","149.4"
