"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Tampa Bay Buccaneers","","45.0","13.9","11.9","19.2","2.9","0.5","374.0","5,573.6","114.8"
"Pittsburgh Steelers","","49.6","14.0","10.2","15.6","2.5","0.0","389.3","5,871.5","112.9"
"Buffalo Bills","","43.0","15.7","9.7","15.4","2.8","0.5","335.3","5,361.2","111.8"
"Dallas Cowboys","","39.1","16.1","10.6","16.2","3.0","0.0","389.0","5,836.5","110.8"
"Los Angeles Rams","","44.3","14.4","9.8","12.8","2.8","0.5","370.2","5,691.4","110.7"
"Miami Dolphins","","43.8","14.5","10.2","16.2","2.6","0.5","380.7","5,729.6","109.8"
"New Orleans Saints","","44.2","14.9","9.5","14.0","2.6","0.0","330.8","5,619.5","108.6"
"Los Angeles Chargers","","42.0","13.8","11.0","17.5","2.7","0.5","400.1","5,880.7","108.5"
"San Francisco 49ers","","45.3","13.0","10.3","16.8","2.5","0.0","367.7","5,523.5","107.2"
"Green Bay Packers","","42.1","15.2","8.9","14.2","2.6","0.0","358.6","5,600.2","106.0"
"Indianapolis Colts","","34.9","14.8","11.4","18.0","2.7","1.0","369.6","5,725.4","105.7"
"Cleveland Browns","","43.3","14.0","8.7","13.5","2.6","0.5","368.3","5,582.4","105.1"
"Minnesota Vikings","","42.5","13.7","9.1","14.2","2.8","0.0","391.6","5,872.7","104.8"
"New England Patriots","","40.3","14.7","9.4","13.7","2.5","0.5","371.2","5,731.0","104.7"
"Arizona Cardinals","","39.9","13.3","11.4","19.0","2.3","0.5","393.4","5,863.2","103.9"
"Kansas City Chiefs","","36.3","13.9","10.4","18.0","2.9","0.5","400.0","6,045.7","103.3"
"Denver Broncos","","40.5","13.8","8.9","13.8","2.6","0.0","388.5","5,852.8","101.2"
"Washington Commanders","","39.7","12.9","9.8","16.0","2.6","0.0","391.2","5,873.5","100.5"
"Baltimore Ravens","","39.1","13.1","9.2","15.0","2.6","0.5","353.3","5,777.6","100.2"
"Cincinnati Bengals","","39.8","13.8","8.7","14.7","2.3","0.5","382.0","5,933.8","99.7"
"Chicago Bears","","41.8","11.8","9.8","15.2","2.3","0.5","408.6","5,826.7","99.7"
"Tennessee Titans","","41.1","13.1","8.5","13.1","2.5","0.0","366.3","5,781.9","99.0"
"Carolina Panthers","","39.1","12.6","9.6","13.7","2.4","0.0","411.0","5,639.9","97.9"
"Philadelphia Eagles","","38.9","12.1","8.3","13.5","2.7","0.5","376.9","5,751.0","96.7"
"New York Giants","","37.5","12.7","8.9","13.5","2.2","0.5","398.9","5,803.6","95.1"
"Houston Texans","","34.2","12.3","9.4","14.9","2.3","0.0","431.3","6,379.3","91.2"
"Seattle Seahawks","","36.5","12.2","8.4","12.1","2.1","0.5","405.5","6,025.3","91.0"
"New York Jets","","35.7","12.0","8.9","15.2","2.2","0.0","441.3","6,239.2","90.9"
"Las Vegas Raiders","","35.5","11.5","9.1","14.7","2.1","0.5","422.1","5,808.1","90.6"
"Detroit Lions","","34.7","11.8","8.5","13.4","2.2","0.5","442.9","6,254.6","89.3"
"Jacksonville Jaguars","","36.8","11.3","7.8","11.1","2.1","0.5","436.0","6,180.2","88.9"
"Atlanta Falcons","","29.9","13.1","8.6","12.7","2.1","0.0","428.1","6,072.0","85.5"
""
""
