"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Cooper Kupp","LAR","120.6","1,553.4","12.0","4.2","24.4","0.1","0.8","228.5"
"Justin Jefferson","MIN","100.8","1,485.7","9.0","3.3","16.7","0.1","0.8","202.6"
"Deebo Samuel","SF","71.0","1,061.8","5.5","59.0","344.0","4.6","1.6","198.5"
"Ja'Marr Chase","CIN","89.0","1,359.1","9.8","8.4","44.8","0.2","0.9","198.3"
"Davante Adams","LV","104.8","1,299.0","8.3","0.0","0.0","0.0","0.7","178.4"
"Stefon Diggs","BUF","101.3","1,246.1","9.2","0.3","2.5","0.0","0.8","178.3"
"Mike Evans","TB","82.8","1,152.1","10.7","0.3","1.8","0.0","0.7","178.2"
"CeeDee Lamb","DAL","91.8","1,226.0","7.9","6.7","51.8","0.1","0.7","174.3"
"Tyreek Hill","MIA","92.1","1,143.5","7.6","8.4","60.1","0.4","0.8","166.9"
"Tee Higgins","CIN","83.1","1,134.2","7.4","0.3","1.0","0.0","0.8","156.6"
"A.J. Brown","PHI","77.7","1,102.7","7.5","0.5","5.5","0.0","0.7","154.4"
"DJ Moore","CAR","87.4","1,180.2","5.6","4.6","29.6","0.1","0.8","153.4"
"Mike Williams","LAC","70.8","1,056.3","7.8","0.0","0.3","0.0","0.6","151.4"
"Michael Pittman Jr.","IND","88.7","1,100.8","6.4","3.7","28.4","0.0","0.8","150.0"
"Keenan Allen","LAC","102.2","1,101.9","6.8","0.3","0.5","0.0","0.8","149.4"
"DK Metcalf","SEA","79.0","1,072.9","6.7","0.3","1.5","0.0","0.8","145.9"
"Diontae Johnson","PIT","94.5","1,065.1","6.0","4.3","32.8","0.1","1.4","143.7"
"Terry McLaurin","WAS","80.2","1,081.3","6.0","0.3","3.3","0.0","0.7","143.2"
"Jerry Jeudy","DEN","77.2","1,079.4","5.8","1.5","6.8","0.0","0.9","141.8"
"Courtland Sutton","DEN","72.3","1,016.9","6.7","0.3","0.8","0.0","0.7","140.6"
"Brandin Cooks","HOU","91.0","1,069.1","5.4","2.8","19.5","0.1","0.7","140.2"
"Gabriel Davis","BUF","58.5","889.0","8.3","0.0","0.0","0.0","0.2","138.4"
"Jaylen Waddle","MIA","91.6","989.2","6.1","3.6","20.1","0.4","0.9","138.1"
"Chris Godwin","TB","81.6","960.5","6.5","1.8","10.0","0.3","1.3","135.3"
"Darnell Mooney","CHI","76.0","1,023.8","4.7","4.3","22.2","0.3","0.7","133.4"
"Amari Cooper","CLE","76.7","971.3","6.2","0.3","0.8","0.0","0.8","132.8"
"Allen Robinson II","LAR","73.5","937.4","6.5","0.0","0.0","0.0","0.7","131.2"
"Tyler Lockett","SEA","76.8","986.2","5.1","2.1","11.1","0.1","0.7","129.2"
"Marquise Brown","ARI","76.0","935.5","5.8","1.4","8.4","0.1","0.9","127.9"
"Amon-Ra St. Brown","DET","81.7","882.4","5.3","8.0","56.3","0.5","0.8","127.1"
"Michael Thomas","NO","80.6","944.6","5.7","0.3","-1.0","0.0","0.7","127.0"
"Adam Thielen","MIN","72.1","798.0","8.0","0.5","1.5","0.0","0.8","126.4"
"JuJu Smith-Schuster","KC","75.3","815.5","6.3","2.4","11.6","0.6","0.8","122.5"
"Rashod Bateman","BAL","73.5","931.1","5.0","0.0","0.0","0.0","0.8","121.4"
"Elijah Moore","NYJ","64.5","823.6","5.3","5.3","44.7","0.6","0.8","120.9"
"DeVonta Smith","PHI","64.1","857.8","6.1","0.0","0.0","0.0","0.7","120.6"
"Hunter Renfrow","LV","79.4","826.0","5.8","1.5","6.3","0.0","1.0","116.6"
"Chase Claypool","PIT","61.0","856.2","4.1","8.9","52.8","0.3","0.7","115.6"
"Treylon Burks","TEN","61.1","866.9","4.9","2.6","15.0","0.1","1.2","115.4"
"Robert Woods","TEN","68.9","802.2","4.7","7.4","51.5","0.6","0.7","115.4"
"Christian Kirk","JAC","72.8","875.3","4.6","0.5","5.0","0.0","0.7","114.4"
"Drake London","ATL","64.8","877.2","4.5","0.8","3.0","0.0","1.2","112.5"
"Russell Gage","TB","66.5","776.7","5.8","0.3","1.0","0.0","1.3","110.0"
"DeVante Parker","NE","57.3","774.9","5.0","0.0","0.0","0.0","0.7","106.1"
"Brandon Aiyuk","SF","58.7","763.7","4.9","2.6","16.1","0.0","0.8","105.8"
"Robbie Anderson","CAR","58.8","744.4","4.9","3.4","23.9","0.1","0.7","105.6"
"Kadarius Toney","NYG","66.8","765.8","4.0","8.0","52.5","0.2","0.8","105.4"
"DeAndre Hopkins","ARI","59.1","729.7","5.6","0.0","0.5","0.0","0.7","105.2"
"Kenny Golladay","NYG","55.3","800.6","4.4","0.0","0.0","0.0","0.7","105.0"
"Michael Gallup","DAL","53.8","744.9","5.1","0.0","0.0","0.0","0.6","104.0"
"Tim Patrick","DEN","52.9","720.1","5.4","0.0","0.0","0.0","0.7","103.3"
"Allen Lazard","GB","50.5","655.9","6.0","1.8","14.9","0.0","0.6","102.0"
"Marquez Valdes-Scantling","KC","43.1","708.5","4.9","0.7","4.0","0.0","0.1","100.6"
"Tyler Boyd","CIN","65.3","742.8","4.2","2.3","16.8","0.0","0.7","99.5"
"Garrett Wilson","NYJ","53.8","754.2","4.1","1.0","5.7","0.0","1.2","98.4"
"Chris Olave","NO","49.6","706.3","4.6","0.5","2.8","0.0","0.7","97.4"
"Marvin Jones Jr.","JAC","56.3","663.9","5.0","0.0","0.0","0.0","0.6","94.9"
"Jarvis Landry","NO","57.0","696.5","3.9","3.0","15.6","0.3","0.9","94.8"
"Mecole Hardman","KC","51.9","646.1","3.9","9.1","59.7","0.5","1.3","94.4"
"Jakobi Meyers","NE","68.1","745.3","3.4","0.3","2.3","0.0","0.7","94.0"
"Van Jefferson","LAR","45.1","640.6","4.6","2.3","18.8","0.1","0.2","93.7"
"Christian Watson","GB","49.2","664.9","4.7","1.5","8.9","0.0","1.2","93.4"
"K.J. Osborn","MIN","48.7","629.3","5.0","0.3","2.5","0.0","0.6","91.8"
"Jalen Tolbert","DAL","47.1","612.7","4.3","0.5","3.0","0.0","0.7","86.1"
"Skyy Moore","KC","45.2","601.9","4.6","0.5","3.0","0.0","1.2","86.0"
"DJ Chark Jr.","DET","40.8","584.5","4.2","0.3","2.0","0.0","0.1","83.4"
"Rondale Moore","ARI","57.9","553.4","3.0","16.8","82.3","0.5","0.9","83.1"
"Jahan Dotson","WAS","48.7","646.8","3.3","0.5","2.8","0.0","1.2","82.4"
"Corey Davis","NYJ","44.3","608.5","3.8","0.0","0.0","0.0","0.7","82.2"
"Jameson Williams","DET","45.0","613.4","3.6","0.5","2.8","0.0","1.1","80.8"
"Curtis Samuel","WAS","43.7","483.9","3.4","13.5","77.7","0.8","0.7","80.1"
"George Pickens","PIT","50.4","626.0","3.2","0.5","2.3","0.0","1.2","79.5"
"Donovan Peoples-Jones","CLE","39.0","602.6","3.1","0.0","0.0","0.0","0.7","77.5"
"Randall Cobb","GB","40.3","506.8","4.5","1.0","3.7","0.0","0.7","76.6"
"Nico Collins","HOU","44.7","579.0","3.0","0.0","0.0","0.0","0.2","75.7"
"A.J. Green","ARI","38.9","549.8","3.0","0.0","0.0","0.0","0.1","72.9"
"Nick Westbrook-Ikhine","TEN","41.0","515.6","3.7","0.0","0.0","0.0","0.7","72.4"
"James Washington","DAL","32.3","473.4","4.0","0.5","3.3","0.0","0.1","71.5"
"Alec Pierce","IND","39.5","503.8","3.6","0.0","0.0","0.0","0.3","71.5"
"Jamison Crowder","BUF","47.6","489.4","3.9","0.3","1.3","0.0","0.7","71.4"
"Cedrick Wilson Jr.","MIA","43.0","512.0","3.3","0.8","2.0","0.0","0.8","69.7"
"Velus Jones Jr.","CHI","37.9","484.3","3.2","2.1","12.6","0.1","0.3","68.6"
"Joshua Palmer","LAC","41.6","483.7","3.5","0.0","0.0","0.0","0.4","68.5"
"Parris Campbell","IND","38.7","492.2","3.1","0.8","6.8","0.0","0.1","68.4"
"Sterling Shepard","NYG","54.0","528.4","2.6","1.3","5.5","0.0","0.6","67.5"
"Kendrick Bourne","NE","36.0","460.9","2.7","5.8","46.8","0.1","0.7","66.6"
"John Metchie III","HOU","42.6","507.8","2.6","0.0","0.0","0.0","0.3","66.0"
"Sammy Watkins","GB","36.7","479.5","3.0","0.8","4.4","0.0","0.7","65.3"
"Devin Duvernay","BAL","42.5","461.6","2.7","3.3","22.0","0.1","0.4","64.5"
"Byron Pringle","CHI","38.9","495.8","2.4","0.0","0.0","0.0","0.3","63.7"
"Zay Jones","JAC","40.1","465.9","2.6","0.5","0.8","0.0","0.6","61.0"
"Nelson Agholor","NE","32.2","434.4","2.6","1.8","9.4","0.1","0.1","59.9"
"Dee Eskridge","SEA","33.3","415.0","2.3","6.4","43.7","0.1","0.3","59.7"
"Bryan Edwards","ATL","31.6","448.8","2.4","0.0","0.0","0.0","0.1","59.2"
"Laviska Shenault Jr.","JAC","35.8","372.5","2.2","12.8","62.1","0.5","0.6","58.4"
"Braxton Berrios","NYJ","34.7","356.1","2.0","6.5","39.3","1.1","0.7","57.1"
"Darius Slayton","NYG","29.1","389.5","2.3","0.3","-2.8","0.0","0.6","51.6"
"David Bell","CLE","29.0","389.5","2.1","0.7","4.3","0.0","0.6","50.8"
"Jalen Guyton","LAC","23.3","342.6","2.2","4.7","26.6","0.1","0.1","50.5"
"Olamide Zaccheaus","ATL","28.7","364.8","2.0","0.3","0.8","0.0","0.1","48.4"
"Jauan Jennings","SF","29.0","312.4","2.8","0.0","0.0","0.0","0.1","47.7"
"Terrace Marshall Jr.","CAR","30.4","361.1","2.0","0.0","0.0","0.0","0.3","47.7"
"Wan'Dale Robinson","NYG","31.4","354.4","1.6","2.6","16.0","0.1","0.3","46.7"
"Isaiah McKenzie","BUF","25.4","247.5","2.1","9.0","53.6","0.4","0.3","44.5"
"Amari Rodgers","GB","24.3","315.0","1.9","0.8","5.5","0.0","0.6","42.6"
"KJ Hamler","DEN","23.0","306.2","2.0","1.3","5.8","0.0","0.6","41.8"
"Chris Conley","HOU","24.4","322.8","1.6","0.0","0.0","0.0","0.3","41.5"
"Ja'Marcus Bradley","CLE","25.4","305.9","1.7","0.0","0.0","0.0","0.0","40.7"
"Marquez Callaway","NO","19.2","267.6","1.9","2.2","13.3","0.1","0.0","39.9"
"Quez Watkins","PHI","22.9","291.7","1.8","0.0","0.0","0.0","0.1","39.9"
"Demarcus Robinson","LV","23.5","274.0","2.1","0.0","0.0","0.0","0.2","39.3"
"Keelan Cole Sr.","LV","20.2","293.1","1.7","0.0","0.3","0.0","0.0","39.3"
"Noah Brown","DAL","24.2","272.3","1.7","0.0","0.3","0.0","0.1","37.4"
"Tylan Wallace","BAL","21.5","261.6","1.9","0.0","0.0","0.0","0.2","37.2"
"Anthony Schwartz","CLE","19.4","256.7","1.5","1.5","9.1","0.1","0.2","35.6"
"Quintez Cephus","DET","17.1","230.0","2.1","0.0","0.0","0.0","0.0","35.5"
"Romeo Doubs","GB","17.6","213.3","1.9","0.0","0.0","0.0","0.1","32.5"
"Breshad Perriman","TB","14.8","222.0","1.6","0.2","0.8","0.0","0.1","31.9"
"Freddie Swain","SEA","20.9","236.6","1.3","0.7","4.0","0.0","0.1","31.6"
"Rashard Higgins","CAR","18.1","243.9","1.2","0.0","0.0","0.0","0.1","31.5"
"Calvin Austin III","PIT","21.6","242.8","1.2","0.0","0.0","0.0","0.1","31.3"
"Phillip Dorsett II","HOU","18.8","229.5","1.2","1.1","6.6","0.0","0.1","30.7"
"Tyquan Thornton","NE","17.3","205.1","1.3","0.0","0.0","0.0","0.1","28.3"
"Keke Coutee","IND","17.8","204.1","1.3","0.0","0.0","0.0","0.0","28.0"
"James Proche II","BAL","17.5","214.6","1.1","0.0","0.0","0.0","0.2","27.6"
"Josh Reynolds","DET","14.2","188.4","1.5","0.0","0.0","0.0","0.1","27.4"
"Tutu Atwell","LAR","14.6","183.5","1.3","0.0","0.0","0.0","0.2","25.6"
"Equanimeous St. Brown","CHI","12.5","182.8","1.1","0.0","0.0","0.0","0.1","24.5"
"Ben Skowronek","LAR","13.0","160.8","1.4","0.0","0.0","0.0","0.1","24.5"
"Antoine Wesley","ARI","13.1","163.9","1.3","0.0","0.0","0.0","0.1","24.0"
"Zach Pascal","PHI","13.4","159.2","1.4","0.0","0.0","0.0","0.1","24.0"
"Juwann Winfree","GB","14.4","167.7","1.2","0.0","0.0","0.0","0.0","23.9"
"Jamal Agnew","JAC","10.4","118.9","0.7","8.6","56.3","0.4","0.1","23.8"
"Miles Boykin","PIT","13.2","162.8","1.1","0.0","0.0","0.0","0.0","22.6"
"Dyami Brown","WAS","12.9","160.1","1.0","0.0","0.0","0.0","0.1","22.1"
"Damiere Byrd","ATL","15.0","172.6","0.8","0.0","0.0","0.0","0.1","21.6"
"Simi Fehoko","DAL","11.0","155.0","1.0","0.0","0.0","0.0","0.0","21.5"
"Chad Beebe","HOU","14.0","166.4","0.8","0.0","0.0","0.0","0.0","21.2"
"Ihmir Smith-Marsette","MIN","12.2","145.4","1.0","0.0","0.0","0.0","0.1","20.5"
"Dazz Newsome","CHI","11.9","153.2","0.8","0.0","0.0","0.0","0.0","20.4"
"Trent Sherfield","MIA","12.7","149.9","0.9","0.0","0.0","0.0","0.1","20.3"
"Cam Sims","WAS","11.5","152.0","0.9","0.0","0.0","0.0","0.0","20.3"
"Dez Fitzpatrick","TEN","12.0","146.7","0.9","0.0","0.0","0.0","0.0","20.2"
"Ashton Dulin","IND","10.2","128.5","0.9","1.5","10.0","0.1","0.1","19.1"
"Laquon Treadwell","JAC","11.9","140.8","0.9","0.0","0.0","0.0","0.1","19.0"
"Tyler Johnson","TB","10.9","133.4","1.0","0.0","0.0","0.0","0.0","19.0"
"Cody Hollister","TEN","11.3","135.0","0.9","0.0","0.0","0.0","0.0","18.8"
"Danny Gray","SF","11.7","135.2","0.9","0.0","0.0","0.0","0.1","18.8"
"Cyril Grayson Jr.","TB","10.2","128.8","0.9","0.0","0.0","0.0","0.1","18.3"
"Erik Ezukanma","MIA","10.9","122.2","1.0","0.0","0.0","0.0","0.1","17.9"
"Jakeem Grant Sr.","CLE","11.1","124.2","0.7","1.1","6.6","0.0","0.0","17.5"
"Ty Montgomery","NE","7.4","62.9","0.5","9.7","56.9","0.5","0.0","17.4"
"N'Keal Harry","CHI","10.3","124.8","0.8","0.0","0.0","0.0","0.1","17.3"
"Brandon Zylstra","CAR","10.6","130.7","0.6","0.0","0.0","0.0","0.1","16.4"
"Javon Wims","CLE","10.7","121.5","0.7","0.0","0.0","0.0","0.0","16.3"
"Jalen Reagor","PHI","7.4","82.6","0.6","4.7","25.7","0.2","0.2","15.3"
"Albert Wilson","MIN","7.6","78.4","0.6","4.4","27.7","0.2","0.0","15.2"
"Kalif Raymond","DET","7.7","101.9","0.7","0.7","4.2","0.0","0.1","14.7"
"Lynn Bowden Jr.","MIA","7.3","73.3","0.5","4.5","28.5","0.2","0.0","14.6"
"Ray-Ray McCloud","SF","10.1","94.8","0.8","0.0","0.0","0.0","0.0","14.1"
"Chris Moore","HOU","9.9","108.7","0.5","0.0","0.0","0.0","0.0","13.8"
"Marcus Johnson","SF","7.5","92.2","0.7","0.0","0.0","0.0","0.0","13.4"
"Khalil Shakir","BUF","6.4","81.3","0.7","1.0","6.0","0.1","0.0","13.1"
"Richie James Jr.","NYG","8.0","100.1","0.5","0.0","0.0","0.0","0.1","12.8"
"Deonte Harris","NO","6.4","78.9","0.6","1.3","11.0","0.0","0.0","12.6"
"Samori Toure","GB","6.8","80.6","0.7","0.0","0.0","0.0","0.0","12.4"
"Tre'Quan Smith","NO","6.6","82.9","0.6","0.0","0.0","0.0","0.1","11.8"
"Penny Hart","SEA","7.9","84.5","0.5","0.0","0.0","0.0","0.0","11.3"
"Scotty Miller","TB","6.2","78.6","0.5","0.2","1.5","0.0","0.1","11.1"
"Anthony Miller","PIT","7.4","79.3","0.5","0.0","0.0","0.0","0.0","10.9"
"DeAndre Carter","LAC","6.6","77.1","0.6","0.0","0.0","0.0","0.1","10.9"
"Kristian Wilkerson","NE","6.7","78.4","0.5","0.0","0.0","0.0","0.0","10.9"
"Christian Blake","ARI","7.0","79.9","0.5","0.0","0.0","0.0","0.0","10.8"
"Racey McMath","TEN","6.5","78.6","0.5","0.0","0.0","0.0","0.1","10.7"
"Kyle Philips","TEN","6.5","76.3","0.5","0.0","0.0","0.0","0.0","10.6"
"Keelan Doss","NYG","7.2","79.4","0.4","0.0","0.0","0.0","0.0","10.5"
"Josh Malone","TEN","6.3","73.9","0.5","0.0","0.0","0.0","0.0","10.5"
"Nsimba Webster","CHI","6.0","77.0","0.4","0.0","0.0","0.0","0.0","10.1"
"Andre Roberts","CAR","5.9","73.0","0.4","0.0","0.0","0.0","0.0","9.9"
"T.J. Vasher","DAL","5.6","64.9","0.6","0.0","0.0","0.0","0.0","9.7"
"Tajae Sharpe","CHI","5.9","71.4","0.4","0.0","0.0","0.0","0.0","9.6"
"Mack Hollins","LV","5.1","65.0","0.5","0.0","0.0","0.0","0.0","9.5"
"Mike Strachan","IND","5.8","68.1","0.5","0.0","0.0","0.0","0.0","9.5"
"Trent Taylor","CIN","6.2","64.3","0.5","0.0","0.0","0.0","0.0","9.4"
"Jaelon Darden","TB","5.3","62.2","0.5","0.0","0.0","0.0","0.0","9.2"
"Bisi Johnson","MIN","5.4","58.9","0.5","0.0","0.0","0.0","0.1","8.5"
"Marquise Goodwin","SEA","4.8","66.8","0.3","0.0","0.0","0.0","0.0","8.4"
"Mike Thomas","CIN","5.1","58.5","0.4","0.0","0.0","0.0","0.0","8.3"
"Dezmon Patmon","IND","5.0","59.5","0.4","0.0","0.0","0.0","0.0","8.2"
"Jeff Smith","NYJ","5.3","62.8","0.3","0.0","0.0","0.0","0.0","8.2"
"Shi Smith","CAR","5.0","61.2","0.3","0.0","0.0","0.0","0.0","8.1"
"Tyron Johnson","LV","4.5","57.2","0.4","0.0","0.0","0.0","0.0","7.9"
"Isaiah Coulter","CHI","4.5","58.2","0.3","0.0","0.0","0.0","0.0","7.9"
"Denzel Mims","NYJ","4.5","57.8","0.3","0.0","0.0","0.0","0.0","7.7"
"Josh Gordon","KC","3.4","53.1","0.4","0.0","0.0","0.0","0.0","7.4"
"Tyrie Cleveland","DEN","4.3","50.0","0.4","0.0","0.0","0.0","0.0","7.2"
"KhaDarel Hodge","ATL","4.6","56.2","0.3","0.0","0.0","0.0","0.0","7.1"
"Preston Williams","MIA","4.2","49.7","0.4","0.0","0.0","0.0","0.0","7.0"
"Stanley Morgan Jr.","CIN","4.3","48.5","0.3","0.0","0.0","0.0","0.0","6.9"
"Justin Watson","KC","3.9","45.5","0.4","0.0","0.0","0.0","0.0","6.7"
"Malik Taylor","GB","3.6","43.2","0.3","0.0","0.0","0.0","0.0","6.3"
"Seth Williams","DEN","3.7","42.5","0.3","0.0","0.0","0.0","0.0","6.3"
"Corey Coleman","KC","3.4","42.4","0.3","0.0","0.0","0.0","0.0","6.3"
"Kendall Hinton","DEN","3.7","42.3","0.3","0.0","0.0","0.0","0.0","6.3"
"Greg Dortch","ARI","3.8","44.6","0.3","0.0","0.0","0.0","0.0","6.3"
"Marquez Stevenson","BUF","3.5","41.1","0.3","0.0","0.0","0.0","0.0","6.1"
"Trenton Irwin","CIN","3.6","40.1","0.3","0.0","0.0","0.0","0.0","5.9"
"Lil'Jordan Humphrey","NE","3.4","42.5","0.3","0.0","0.0","0.0","0.0","5.8"
"Jalen Nailor","MIN","3.4","39.9","0.3","0.0","0.0","0.0","0.0","5.8"
"David Moore","CHI","2.9","43.4","0.2","0.0","0.0","0.0","0.0","5.6"
"Greg Ward","PHI","4.0","34.9","0.3","0.0","0.0","0.0","0.0","5.5"
"Malik Turner","SF","3.2","35.2","0.3","0.0","0.0","0.0","0.0","5.5"
"Dax Milne","WAS","3.3","38.8","0.2","0.0","0.0","0.0","0.0","5.2"
"Dante Pettis","CHI","2.9","40.8","0.2","0.0","0.0","0.0","0.0","5.2"
"Andy Isabella","ARI","3.0","37.1","0.2","0.0","0.0","0.0","0.0","5.1"
"Steven Sims Jr.","PIT","3.7","39.3","0.2","0.0","0.0","0.0","0.0","5.1"
"KeeSean Johnson","SF","3.0","30.9","0.3","0.0","0.0","0.0","0.0","5.1"
"Cody Core","MIA","3.5","37.8","0.2","0.0","0.0","0.0","0.0","5.0"
"Trinity Benson","DET","3.4","39.8","0.2","0.0","0.0","0.0","0.0","5.0"
"Collin Johnson","NYG","3.5","39.5","0.2","0.0","0.0","0.0","0.0","5.0"
"Daurice Fountain","KC","2.9","33.6","0.3","0.0","0.0","0.0","0.0","5.0"
"J.J. Arcega-Whiteside","PHI","3.0","35.3","0.2","0.0","0.0","0.0","0.0","4.9"
"Jason Moore Jr.","LAC","2.8","34.2","0.3","0.0","0.0","0.0","0.0","4.9"
"David Sills V","NYG","3.5","38.7","0.2","0.0","0.0","0.0","0.0","4.9"
"Frank Darby","ATL","3.2","36.4","0.2","0.0","0.0","0.0","0.0","4.7"
"Auden Tate","ATL","2.9","35.2","0.2","0.0","0.0","0.0","0.0","4.7"
"Travis Fulgham","DEN","2.6","31.1","0.3","0.0","0.0","0.0","0.0","4.6"
"Geronimo Allison","ATL","3.2","35.8","0.2","0.0","0.0","0.0","0.0","4.6"
"Cameron Batson","ATL","3.2","35.6","0.2","0.0","0.0","0.0","0.0","4.6"
"Cody Thompson","SEA","3.2","34.6","0.2","0.0","0.0","0.0","0.0","4.5"
"Justyn Ross","KC","1.9","21.3","0.2","0.0","0.0","0.0","0.0","3.3"
"Brandon Powell","LAR","1.8","20.3","0.2","0.0","0.0","0.0","0.0","3.0"
"Tre Nixon","NE","1.7","19.2","0.1","0.0","0.0","0.0","0.0","2.7"
"Bo Melton","SEA","1.7","18.7","0.1","0.0","0.0","0.0","0.0","2.4"
"Gunner Olszewski","PIT","0.8","9.3","0.0","0.0","0.0","0.0","0.0","1.1"
"Devin Funchess","DET","0.4","4.5","0.0","0.0","0.0","0.0","0.0","0.6"
"Tavon Austin","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Antonio Gandy-Golden","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kirk Merritt","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deon Cain","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Reed","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rico Gafford","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kevin White","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Austin Mack","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner Gentry","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Robert Foster","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lawrence Cager","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"J.J. Koski","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kelvin Harmon","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Maurice Ffrench","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
