,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YDS,PASS_TDS,INTS
1,Jonathan Taylor,IND,RB,330.7,"1,681.8",15.1,42.6,355.8,2.0,2.7,0.0,0.0,0,0.0,0.0
2,Derrick Henry,TEN,RB,379.0,"1,747.1",12.5,26.6,204.6,0.8,3.1,0.0,0.0,0,0.0,0.0
3,Austin Ekeler,LAC,RB,223.3,998.0,9.8,75.2,656.4,5.4,2.3,0.0,0.0,0,0.0,0.0
4,Christian McCaffrey,CAR,RB,236.6,"1,058.1",7.5,85.9,708.8,3.7,2.1,0.0,0.0,0,0.0,0.0
5,Dalvin Cook,MIN,RB,281.8,"1,278.3",9.8,48.6,363.5,1.5,2.7,0.0,0.0,0,0.0,0.0
6,Joe Mixon,CIN,RB,288.1,"1,194.8",9.9,44.6,306.8,2.4,2.0,0.0,0.0,0,0.0,0.0
7,Najee Harris,PIT,RB,297.2,"1,188.2",8.1,63.8,415.9,2.5,2.4,0.0,0.0,0,0.0,0.0
8,Alvin Kamara,NO,RB,205.4,872.9,7.0,60.7,548.7,4.5,1.8,0.0,0.0,0,0.0,0.0
9,Nick Chubb,CLE,RB,249.2,"1,276.8",8.9,26.9,219.6,1.1,2.0,0.0,0.0,0,0.0,0.0
10,James Conner,ARI,RB,228.7,930.3,10.6,42.1,331.7,2.1,2.1,0.0,0.0,0,0.0,0.0
11,Leonard Fournette,TB,RB,220.6,927.4,8.9,62.0,412.1,2.1,1.9,0.0,0.0,0,0.0,0.0
12,Aaron Jones,GB,RB,190.4,898.4,6.3,60.0,476.2,3.8,1.5,0.0,0.0,0,0.0,0.0
13,D'Andre Swift,DET,RB,215.7,917.0,7.2,64.7,475.6,2.6,2.2,0.0,0.0,0,0.0,0.0
14,Javonte Williams,DEN,RB,227.5,"1,021.4",6.9,46.4,338.8,2.8,2.0,0.0,0.0,0,0.0,0.0
15,David Montgomery,CHI,RB,254.3,"1,021.7",7.7,44.9,336.4,1.8,1.9,0.0,0.0,0,0.0,0.0
16,Cam Akers,LAR,RB,254.2,"1,106.1",7.3,36.9,292.9,1.6,3.4,0.0,0.0,0,0.0,0.0
17,Saquon Barkley,NYG,RB,233.7,968.4,6.1,56.1,398.2,2.4,2.0,0.0,0.0,0,0.0,0.0
18,Antonio Gibson,WAS,RB,241.8,"1,022.5",7.9,36.1,251.5,2.0,2.8,0.0,0.0,0,0.0,0.0
19,Ezekiel Elliott,DAL,RB,227.2,961.5,8.1,40.6,264.1,2.0,1.5,0.0,0.0,0,0.0,0.0
20,Elijah Mitchell,SF,RB,260.6,"1,129.0",7.8,21.9,156.2,1.2,1.8,0.0,0.0,0,0.0,0.0
21,Josh Jacobs,LV,RB,242.5,"1,001.6",8.8,35.5,249.8,0.6,1.9,0.0,0.0,0,0.0,0.0
22,J.K. Dobbins,BAL,RB,193.3,969.5,8.1,32.6,237.3,1.1,1.5,0.0,0.0,0,0.0,0.0
23,Breece Hall,NYJ,RB,218.5,953.7,5.9,36.8,292.4,1.5,2.0,0.0,0.0,0,0.0,0.0
24,Damien Harris,NE,RB,216.4,958.6,9.8,15.0,110.9,0.3,1.9,0.0,0.0,0,0.0,0.0
25,Miles Sanders,PHI,RB,205.9,"1,013.5",4.9,31.6,225.9,1.3,2.0,0.0,0.0,0,0.0,0.0
26,Travis Etienne Jr.,JAC,RB,175.5,761.5,5.0,49.7,398.8,2.0,1.9,0.0,0.0,0,0.0,0.0
27,Devin Singletary,BUF,RB,187.1,854.5,5.9,34.1,218.0,1.3,1.7,0.0,0.0,0,0.0,0.0
28,Cordarrelle Patterson,ATL,RB,145.2,608.7,4.5,44.4,425.5,3.0,1.3,0.0,0.0,0,0.0,0.0
29,AJ Dillon,GB,RB,175.3,767.6,5.7,28.7,230.9,1.3,1.4,0.0,0.0,0,0.0,0.0
30,Tony Pollard,DAL,RB,151.0,742.3,3.6,44.4,343.1,1.9,1.4,0.0,0.0,0,0.0,0.0
31,Clyde Edwards-Helaire,KC,RB,162.7,717.5,4.9,36.8,272.1,2.1,1.4,0.0,0.0,0,0.0,0.0
32,Kareem Hunt,CLE,RB,134.3,608.1,4.9,45.6,359.5,2.0,1.2,0.0,0.0,0,0.0,0.0
33,Rashaad Penny,SEA,RB,173.6,846.6,5.6,14.6,108.5,0.3,1.2,0.0,0.0,0,0.0,0.0
