"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","101.3","1,202.9","9.0","0.8","172.9"
"Mark Andrews","BAL","92.2","1,142.5","8.8","0.8","165.6"
"Darren Waller","LV","80.6","973.2","5.1","0.7","126.8"
"George Kittle","SF","75.8","921.4","5.5","0.8","123.4"
"Kyle Pitts","ATL","71.5","960.1","4.4","0.7","121.1"
"Dalton Schultz","DAL","75.2","746.9","5.9","0.7","109.0"
"Dallas Goedert","PHI","62.0","754.1","5.0","0.7","103.8"
"T.J. Hockenson","DET","68.0","699.9","5.1","0.7","99.1"
"Dawson Knox","BUF","48.6","579.1","6.0","0.1","93.4"
"Hunter Henry","NE","51.5","567.6","5.8","0.1","91.6"
"Zach Ertz","ARI","61.1","633.7","4.7","0.6","90.5"
"Mike Gesicki","MIA","61.5","660.8","4.1","0.6","89.2"
"Pat Freiermuth","PIT","62.5","559.9","5.2","0.7","86.0"
"Noah Fant","SEA","61.5","629.4","3.8","0.6","84.6"
"Cole Kmet","CHI","61.4","640.2","3.6","0.7","84.4"
"Tyler Higbee","LAR","57.4","578.5","4.6","0.7","84.2"
"Albert Okwuegbunam","DEN","53.1","554.3","4.9","0.7","83.6"
"David Njoku","CLE","46.3","568.2","4.4","0.1","83.3"
"Irv Smith Jr.","MIN","51.0","525.5","4.5","0.2","79.5"
"Logan Thomas","WAS","50.8","523.0","4.6","0.6","78.9"
"Austin Hooper","TEN","56.0","525.0","4.5","0.6","78.5"
"Gerald Everett","LAC","53.9","542.7","4.4","1.3","78.0"
"Robert Tonyan","GB","46.5","511.4","4.5","0.1","77.6"
"Evan Engram","JAC","50.3","527.3","3.5","0.7","72.3"
"Kyle Rudolph","TB","45.0","463.0","4.0","0.0","70.3"
"Hayden Hurst","CIN","43.9","433.3","3.9","0.7","65.3"
"Cameron Brate","TB","40.1","385.0","4.1","0.2","63.0"
"Mo Alie-Cox","IND","34.4","425.2","3.3","0.1","62.1"
"Brevin Jordan","HOU","39.3","380.9","3.2","0.2","57.2"
"C.J. Uzomah","NYJ","40.1","384.0","2.6","0.1","53.9"
"Adam Trautman","NO","36.2","383.8","2.6","0.6","52.7"
"Jonnu Smith","NE","32.3","349.6","2.5","0.1","49.8"
"Harrison Bryant","CLE","29.2","309.4","2.9","0.1","48.0"
"Tyler Conklin","NYJ","32.5","320.8","2.0","0.1","44.1"
"Paul Quessenberry","HOU","38.0","340.0","2.0","1.0","44.0"
"Ricky Seals-Jones","NYG","29.9","291.0","2.4","0.0","43.4"
"Foster Moreau","LV","23.4","266.7","2.6","0.1","42.3"
